Date,Origin,Destination,Airline,Price
2025-05-18,ICN,LAX,대한항공델타항공,1215800
2025-05-18,ICN,LAX,아시아나항공,1363000
2025-05-19,ICN,LAX,에어프레미아,1207400
2025-05-19,ICN,LAX,에바항공,1261100
2025-05-19,ICN,LAX,아시아나항공,1363000
2025-05-19,ICN,LAX,아시아나항공,1363000
2025-05-19,ICN,LAX,대한항공델타항공,1675800
2025-05-20,ICN,LAX,에어캐나다아시아나항공,993100
2025-05-20,ICN,LAX,에어프레미아,1241112
2025-05-20,ICN,LAX,아시아나항공,1363000
2025-05-21,ICN,LAX,에어프레미아,997400
2025-05-21,ICN,LAX,아시아나항공,1121900
2025-05-21,ICN,LAX,대한항공델타항공,1215800
2025-05-22,ICN,LAX,에어프레미아,1072400
2025-05-22,ICN,LAX,아시아나항공,1175900
2025-05-22,ICN,LAX,대한항공델타항공,1215800
2025-05-23,ICN,LAX,에어캐나다,943100
2025-05-23,ICN,LAX,에어프레미아,1072400
2025-05-23,ICN,LAX,아시아나항공,1095500
2025-05-23,ICN,LAX,대한항공델타항공,1140800
2025-05-24,ICN,LAX,에어캐나다,835400
2025-05-24,ICN,LAX,아시아나항공,1086700
2025-05-24,ICN,LAX,대한항공델타항공,1140800
2025-05-24,ICN,LAX,에어프레미아,1207400
2025-05-25,ICN,LAX,에어캐나다아시아나항공,993100
2025-05-25,ICN,LAX,대한항공델타항공,1140800
2025-05-25,ICN,LAX,대한항공델타항공,1140800
2025-05-25,ICN,LAX,에어프레미아,1195741
2025-05-25,ICN,LAX,아시아나항공,1363000
2025-05-26,ICN,LAX,에어프레미아,1072400
2025-05-26,ICN,LAX,아시아나항공,1143500
2025-05-26,ICN,LAX,대한항공델타항공,1425800
2025-05-27,ICN,LAX,아시아나항공,1113700
2025-05-27,ICN,LAX,에어프레미아,1207400
2025-05-27,ICN,LAX,대한항공델타항공,1290800
2025-05-28,ICN,LAX,아시아나항공,1184100
2025-05-28,ICN,LAX,대한항공델타항공,1203900
2025-05-28,ICN,LAX,에어프레미아,1207400
2025-05-29,ICN,LAX,에어프레미아,1072400
2025-05-29,ICN,LAX,아시아나항공,1143500
2025-05-29,ICN,LAX,대한항공델타항공,1215800
